线路	IP	平均延迟	丢包率	速度
电信	162.159.152.236	158.58ms	0.00%	22.71MB/s
电信	162.159.152.230	161.55ms	0.00%	22.42MB/s
电信	162.159.153.110	160.83ms	0.00%	22.35MB/s
电信	162.159.153.1	162.56ms	0.00%	22.13MB/s
电信	162.159.153.96	160.11ms	0.00%	22.08MB/s
电信	162.159.152.177	160.10ms	0.00%	22.06MB/s
电信	162.159.152.9	159.60ms	0.00%	21.94MB/s
电信	162.159.153.210	158.21ms	0.00%	21.92MB/s
电信	162.159.152.36	161.02ms	0.00%	21.70MB/s
电信	162.159.152.84	160.23ms	0.00%	21.58MB/s
电信	162.159.153.15	162.61ms	0.00%	21.51MB/s
电信	162.159.153.196	162.56ms	0.00%	21.36MB/s
电信	162.159.153.61	159.32ms	0.00%	21.35MB/s
电信	162.159.152.32	158.51ms	0.00%	21.22MB/s
电信	162.159.153.66	161.50ms	0.00%	20.27MB/s
电信	162.159.153.246	162.03ms	0.00%	20.22MB/s
电信	162.159.152.97	162.07ms	0.00%	17.08MB/s
电信	162.159.152.235	158.67ms	0.00%	16.68MB/s
电信	162.159.153.9	158.57ms	0.00%	16.39MB/s
电信	162.159.152.138	158.56ms	0.00%	16.35MB/s
移动	104.19.33.128	42.72ms	0.00%	35.56MB/s
移动	104.19.60.163	41.14ms	0.00%	34.37MB/s
移动	104.19.60.187	39.03ms	0.00%	34.36MB/s
移动	104.19.33.48	42.37ms	0.00%	34.36MB/s
移动	104.19.60.182	42.47ms	0.00%	34.28MB/s
移动	104.19.59.12	41.11ms	0.00%	34.21MB/s
移动	104.19.57.56	41.36ms	0.00%	34.16MB/s
移动	104.19.59.29	42.48ms	0.00%	34.00MB/s
移动	104.19.60.191	42.09ms	0.00%	33.93MB/s
移动	104.19.57.80	42.23ms	0.00%	33.73MB/s
移动	104.19.60.22	41.40ms	0.00%	33.62MB/s
移动	104.19.34.109	42.34ms	0.00%	33.61MB/s
移动	104.19.34.110	41.84ms	0.00%	33.59MB/s
移动	104.19.42.226	42.54ms	0.00%	33.40MB/s
移动	104.19.57.61	42.57ms	0.00%	33.36MB/s
移动	104.19.39.167	42.70ms	0.00%	33.10MB/s
移动	104.19.58.222	41.70ms	0.00%	32.94MB/s
移动	104.19.32.248	41.65ms	0.00%	32.90MB/s
移动	104.19.57.59	42.34ms	0.00%	32.80MB/s
移动	104.19.36.13	41.34ms	0.00%	32.22MB/s
